name,address,phone,email,lat,lng,url,rating_count,star_count,country,state,w,zip,facebook_link,instagram_link,twitter_link,whatsapp_link,tiktok_link,linkedin_link,youtube_link,primary_category_name,category_name,detailed_state,detailed_district
M/s Madina Auto Rice Mill,"HVW2+RVG, Narayanganj, Madanganj, Bandar, Kishangarh, Rajasthan 305802, India",,,26.5970675,74.852198,,0.0,0.0,India,Rajasthan,Kishangarh,,,,,,,,,Rice mills,Rice mills,Rajasthan,Ajmer
Kiran Janral Aata Mil Kardni,"XP26+3FH, Kardhani Govindpura, Govindpura, Jaipur, Rajasthan 302012, India",,,26.950182,75.7112487,,1.0,5.0,India,Rajasthan,Jaipur,302012,,,,,,,,Rice mills,Rice mills,Rajasthan,Jaipur
CBR The LandGrower CO,"IIIRD FLOOR, PLOT NO 2, IN MAHIMA CRYSTAL PALM, FOOD COURT NORTH-EAST SIDE, Residency Marg, Jaipur, Rajasthan 302004, India",+91 89552 15847,,26.9120997,75.7418239,,0.0,0.0,India,Rajasthan,Jaipur,302004,,,,,,,,Rice mills,Rice mills,Rajasthan,Jaipur
Sanjay Kumar & Company,"F-136, PHASE 2, RIICO, JUNCTION, Industrial Area, Hanumangarh, Rajasthan 335512, India",,,29.638172,74.2818699,https://sanjay-kumar-company.business.site/?utm_source=gmb&utm_medium=referral,0.0,0.0,India,Rajasthan,Hanumangarh,335512,,,,,,,,Rice mills,Rice mills,Rajasthan,Hanumangarh
Ganga Rice And General Mill,"2, RJ SH 36, Industrial Area, Hanumangarh, Rajasthan 335512, India",+91 94142 21616,,29.6190142,74.2707609,,4.0,5.0,India,Rajasthan,Hanumangarh,335512,,,,,,,,Rice mills,Rice mills,Rajasthan,Hanumangarh
Maa Ambey Rice Mill,"Fatehgarh Rd, 18 Hmh Rural, Rajasthan 335513, India",,,29.5607686,74.3072738,,3.0,5.0,India,Rajasthan,Hanumangarh,335513,,,,,,,,Rice mills,Rice mills,Rajasthan,Hanumangarh
Rice Little India Pvt Ltd Rajasthan Plant,"Vinayak Pura, 24 Km Stone, to, Jodhpur, Rajasthan 342305, India",,anvirice@gmail.com,26.5051836,73.1336461,http://rlifarms.com/,1.0,5.0,India,Rajasthan,,342305,https://www.facebook.com/jaisalbasmati,https://www.instagram.com/jaisalbasmatirice/,https://twitter.com/jaisalheritage,https://wa.me/919001470999?text=Hello%20I%20have%20searched%20your%20website%20Anvi%20Exim%20for%20Basmati%20Rice.,,https://www.linkedin.com/in/anshul-garg-140795141/,https://www.youtube.com/channel/UCIVDuo1ljTp5bzSZNTiG_3A,Rice mills,Rice mills,Rajasthan,Jodhpur(Rural)
Mateshwari Food Stuff Pvt.Ltd. ( Best Basmati Rice Exporter & Manufacturer ),"Matunda Rd, Bundi, Bahadurpura, Rajasthan 323001, India",+91 99822 22122,,25.4282171,75.6933059,,17.0,4.4,India,Rajasthan,,323001,,,,,,,,Rice mills,Rice mills,Rajasthan,Bundi
"Jyoti General Industries, Bundi","Chittor Rd, near एफसीआई गोदाम, Bundi, Rajasthan 323001, India",+91 94141 75837,,25.4240809,75.6214027,,16.0,4.0,India,Rajasthan,,323001,,,,,,,,Rice mills,Rice mills,Rajasthan,Bundi
Food processor company,"CMHV+X82, Matunda Rd, Bahadurpura, Rajasthan 323001, India",,,25.429888,75.6932768,,0.0,0.0,India,Rajasthan,,323001,,,,,,,,Rice mills,Rice mills,Rajasthan,Bundi
